Nombre,Puntuacion,Comentarios,Municipio
Hotel Bellavista Isla del Sol,"8,4",113 comentarios,Prado
Hotel y Hostal Mi Reino Represa Prado Tolima,10,1 comentario,Prado
Casa de las Guacamayas,"9,4",36 comentarios,Prado
Fincasa del Mar-La Casa del Arbol,"9,0",48 comentarios,Prado
Buena Aventura parejas,10,2 comentarios,Prado
LA FLORESTA ISLA DEL SoL,,,Prado
Cabaña el diviso,10,2 comentarios,Prado
Mansion del Lago - Hotel Prado,,,Prado
POINCOS ECO HOTEL,"8,7",8 comentarios,Prado
Casa Isla en la Represa de Prado,"9,4",6 comentarios,Prado
Tana - Casa & Cabaña de Montaña y Lago,"8,7",6 comentarios,Prado
"Cabaña de Lujo, Isla El Faro","8,0",2 comentarios,Prado
Las Palmas - Espectacular casa a borde de lago con piscina,"9,0",2 comentarios,Prado
La Casa White,10,2 comentarios,Prado
cabaña vacacional prado tolima,,,Prado
Isla Tortuga - Prado - Deportes Náuticos - Cerca a Bogotá - Cerca a Ibagué,10,1 comentario,Prado
Cabaña en Prado Tolima,"9,0",21 comentarios,Prado
CABAÑA FUENTE DE ORO,,,Prado
"Luxury Suite del Faro, Romance en la represa",,,Prado
Pradolago Sol Prado Tolima,"9,4",8 comentarios,Prado
Mi Bello Suspiro,"6,5",2 comentarios,Prado
Chalet,,,Prado
Casa Natalie,"7,0",3 comentarios,Prado
Quinta Prado Mar,,,Prado
"Apto en la represa de prado, Tolima","8,2",21 comentarios,Boquerón de Tena
Apto en la represa de prado full 2,"8,8",9 comentarios,Boquerón de Tena
Hostal Boutique El Rocio,,,Murillo
Casa Natura Prado,,,Boquerón de Tena
bella vista,10,1 comentario,Bellavista
Hotel Villa de las Palmas,"7,8",19 comentarios,Purificación
Hotel Palmari,"8,6",20 comentarios,Purificación
Kamellon Hotel,"6,0",1 comentario,Purificación
Magical Lake Cabin - Ski Shack,,,Camacorinto
Casa Las Palmas en Prado Tolima,"9,3",3 comentarios,La Amargura
