Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
HOTEL CENTRAL-CHAPARRAL,Agregar sitio web,"Cl. 8 #7-53, Chaparral, Tolima",3.7237128,-76.704363,4.3,163,
Hotel Casa Vieja,Agregar sitio web,"Carrera 3 #3 - 14, Ortega, Tolima",3.7237128,-76.704363,4.3,163,
HOTEL AMBEIMA CHAPARRAL,Agregar sitio web,"Cra. 8 #7-58, Chaparral, Tolima",3.7237128,-76.704363,4.3,163,
HOTEL LOS TORRES,Agregar sitio web,"Plaza Central Parque de Los Presidentes, Cl. 8 #9-58, Chaparral, Tolima",3.7237128,-76.704363,4.3,163,
Hotel Olga Luz,Agregar sitio web,"Cl. 9 # 7- 44, Chaparral, Tolima",3.7237128,-76.704363,4.3,163,
La CASONA TÍPICA,Restaurante,"Cra. 9, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,Abierto ⋅ Cierra a las 10 p.m.
ZONA T CHAPARRAL,Restaurante,"36, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,Abierto ⋅ Cierra a las 11 p.m.
Mi Tierrita Restaurante Parrilla Bar,Restaurante,"Cra. 8 #8-12, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,
La Jungla Restaurante,Bar,"PGHP+53, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,
ALEBRIJES RESTAURANTE MEXICANO,Restaurante,"Jose Maria Melo mz 3 casa 1, MZ 3 CASA 1 BARRIO, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,Abierto ⋅ Cierra a las 10 p.m.
Restaurante Arroyabe,Restaurante,"Cl. 7, Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,Cierra pronto ⋅ 8:30 p.m. ⋅ Abre a las 8 a.m. del jue
Kitskos,Restaurante,"Chaparral, Tolima",3.7253666,-75.5231749,4.3,313,Abierto ⋅ Cierra a las 10 p.m.
