Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
Fardo Hotel Boutique | Zona G - Ibagué | | Recepción Digital 24H,,"Carrera 4i # 38a - 44 esquina, Magisterio, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Hotel Imperio Ibague | Hoteles en Ibague,,"Cra 3 #18 - 47, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Bunde Haus Hotel,Agregar sitio web,"730002, Cra. 5 #62-40, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Hotel Gold Plaza,Agregar sitio web,"Carrera 3 #17-58, Centro, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
HOTEL DORAL INN,,"Cl. 16 #2-57, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Sonesta Hotel Ibagué,,"Cra. 8 #57-57, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
ESTELAR Altamira Hotel,,"Cra. 1 #45-50, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Hotel Dann Combeima,,"Cra. 2 #12 37, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
HOTEL Y RESTAURANTE ACACIA,Agregar sitio web,"HOTEL ACACIA, Cl. 13 #3-11, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
FR hotel,,"Cra. 5 #29-41, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Apartamento amoblado en Ibague,Agregar sitio web,"Cra. 4A #30-40, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
Hotel Verano,,"Cra. 2 #25-82, Ibagué, Tolima",4.4366871,-75.254359,4.3,228,
AIMA - Viajes de exploración,,"Cra 3 #10 -37 Piso 3, Ibagué, Tolima",4.444699,-75.280086,4.3,228,
HOTEL DEPARTAMENTAL,Agregar sitio web,"BARRIO DEPARTAMENTAL, Cra. 3A #32-69, Ibagué, Tolima",4.444699,-75.280086,4.3,228,
WAIKI Apartaestudio Amoblados,,"Cra. 4b #64a, Ibagué, Tolima",4.4363673,-75.2374609,4.3,228,
La Casona de la Loma,Agregar sitio web,"casaloma de calambeo, Cra. 13E #21-87, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Hotel Internacional y Centro de Convenciones Casa Morales,,"Cra 3 #3-47, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Eco Star Hotel,,"Cl. 60 #7 - 96, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
ANTONIA | Hotel Autónomo en Ibagué | Recepción Digital 24H.,,"Cl. 18 #8-64, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Hotel Center,,"Cra 4 #12-52, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Hotel Cádiz In,,"Cra. 4d #32-62, Cadiz, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Ayenda Ambeima,,"Cra 3 #13-32, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Hotel bolivariano,Agregar sitio web,"Cl. 17 #3 119, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Hotel F25,,"Cra. 5 # 41-16, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
HOTEL KENISONI,Agregar sitio web,"730001 SANTANDER, Ibagué, Tolima",4.4526979,-75.2649832,4.3,228,
Ayenda 1132 Copiclub,,"Avenida Ambalá Cra 14 Numero 134-30, Ibagué, Tolima",4.4491291,-75.1910968,4.3,228,
Hotel Varón,Agregar sitio web,"Cra. 1A #222, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
Flora Jaguar,Agregar sitio web,"Calambeo, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
Dosis Cafe,Agregar número de teléfono del lugar,"Cra 3 #4-106, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
Hotel Vizion,Agregar número de teléfono del lugar,"Cra. 2 #22-40, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
La Posada del Viajero,Agregar sitio web,"Cra. 1 #17-53, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
hotel cal bed & breakfast,Agregar sitio web,"manzana x, Cl 46 #5a-07 casa 3, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
Star 37 Av. Hotel,,"Cra. 4d #36-47, Cádiz, Ibagué, Tolima",4.4361804,-75.2709244,4.3,228,
Montecarlos,Agregar sitio web,"Carrera 14 #133-19, Barrio, Ibagué, Tolima",4.4489767,-75.1920428,4.3,228,
La Casa De Los Sueños Colombia - Centro de Bienestar Integral y hostel temático ancestral,,"Cañón del combeima, Finca Villa Marlen Vereda Ramos y Astilleros,Sector la Cristalina, Ibagué, Tolima",4.4671673,-75.3192423,4.3,228,
Hotel Ibagué Plaza,,"Cra. 5 #14 - 58, Ibagué, Tolima",4.4440325,-75.2755682,4.3,228,
Finca Ecoparaiso Ibagué,,"Km 2.5, vía Chapetón Vereda Cay, Ibagué",4.4440325,-75.2755682,4.3,228,
Hotel Station 23,Agregar sitio web,"Cl. 56 #28, Ibagué, Tolima",4.4394835,-75.2434812,4.3,228,
Villa Ester Hostel,,"Villa Ester hostel, Vereda Cay, casa 131, Ibagué, Tolima",4.4641481,-75.2987221,4.3,228,
CityStar Ibagué,,"Cra. 7B #53-53, Ibagué, Tolima",4.4385199,-75.2430779,4.3,228,
Coliving 7 Aparta Hotel & Habitaciones,,"Ciudadela Comfenalco, Carrera 18 F Sur, ETAPA 2 #127-45 MZ 14 CASA 27, Ibagué, Tolima",4.4068939,-75.1951704,4.3,228,
Hotel Alferes Ibagué,Agregar sitio web,"Cra. 2 #14-28, Ibagué, Tolima",4.4415005,-75.277766,4.3,228,
Hotel Hábitat,,"Barrio las margaritas, Carrera 5° #87-05, Cotrautol, Ibagué, Tolima",4.4407049,-75.2221478,4.3,228,
Hotel Escorial Ibagué,,"C. 14 #3-19, Ibagué, Tolima",4.4427261,-75.2772331,4.3,228,
Hotel Danilo,,"Cra. 1 #21138, Ibagué, Tolima",4.4427261,-75.2772331,4.3,228,
Hotel Los Ocobos Plaza,Agregar sitio web,"Cra 4 #16-65, Ibagué, Tolima",4.4427261,-75.2772331,4.3,228,
Hotel Boutique 442,,"Carrera 7 #59-20, Limonar, Cra. 7 #59-20, Ibagué, Tolima",4.4379172,-75.2418469,4.3,228,
"Copiclub Ibague, Tolima",,"Cra. 9 #130-40, Ibagué, Tolima",4.4491795,-75.1912253,4.3,228,
Hotel Grand Latino,Agregar sitio web,"Cl. 17 #3-97, centro, Ibagué, Tolima",4.4415759,-75.2743661,4.3,228,
Hotel Cacique Ibagué,,"Cl. 15 #4 - 36, Ibagué, Tolima",4.4415759,-75.2743661,4.3,228,
Hotel Arboleda de Cádiz- Apartaestudios amoblados,,"Cl 33 #4D-26, Ibagué, Tolima",4.4415759,-75.2743661,4.3,228,
HABITACIONES Y CASAS CAMPESTRES IBAGUE,Agregar sitio web,"730001, Ibagué, Tolima",4.400406,-75.219308,4.3,228,
Hotel Cristal Ibague,Agregar sitio web,"Carrera 4 No 16-52 Centro, Ibagué, Tolima",4.4420906,-75.2743432,4.3,228,
Hotel Estacion Plaza Ibagué,,"Cl. 19 #4-09, Ibagué, Tolima",4.4420906,-75.2743432,4.3,228,
HOTEL CASA MOLANO,Agregar número de teléfono del lugar,"Cra. 2 #24-19, Ibagué, Tolima",4.4420906,-75.2743432,4.3,228,
Hotel Lusitania,Agregar sitio web,"Cra. 2 #15-55, Ibagué, Tolima",4.4420906,-75.2743432,4.3,228,
apartamento en ibagué la fontana,,"Cra. 7C #50 16, Ibagué, Tolima",4.4393222,-75.2451498,4.3,228,
Hotel Acandí,Agregar sitio web,"Carrera 3 11 60 centro, Ibagué 730001",4.443778,-75.2792129,4.3,228,
Origen Restaurante - Restaurante Ibagué,Restaurante,"Carrera 12 sur #83-30, Ibagué, Tolima",4.4305432,-75.2091661,4.6,381,Abierto ⋅ Cierra a las 9 p.m.
Empireo Gastrobar,Restaurante,"Cra. 7C #51-06, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 11 p.m.
La Parrilla de Marcos,Restaurante,"Calle 63 No. 5-46, Arkacentro, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 11 p.m.
Paz Restaurante Ibague,Restaurante,"Icono 60, Cl. 60 #10 115 Edificio, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Fervor Restaurante Ibague,Restaurante,"esquina, Calle 57 n 7c -51, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Augurio By La Comarca,Restaurante,"Cra. 5 # 41-16, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 10 p.m. Actualizado por otros usuarios hace 11 semanas
Salvador y Milagros,Restaurante,"Av 60 #13 a - 33, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
TANGO PASION POR LA CARNE IBAGUE,Restaurante,"Macarena parte alta, Cra. 4d #40-73, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 10 p.m. Actualizado por otros usuarios hace 11 semanas
Maria Y El Mar Cocina - Peruana,Restaurante,"Cra. 4h, Ibagué, Tolima",4.4390951,-75.2443096,4.6,381,Abierto ⋅ Cierra a las 11:30 p.m. Actualizado por este negocio hace 5 semanas
LB La Baranda Bar - Restaurante,Bar restaurante,"CC. Combeima Local 229. Entrada Cra. 3, 2do. Piso., Centro, Ibagué, Tolima",4.4432358,-75.2783743,4.6,381,Abierto ⋅ Cierra a la 1 a.m.
Puerto Madero,Restaurante,"Calle 48 sur #108-32 Aparco Kilometro 5 Vía, Bogotá, Ibagué, Tolima",4.4139499,-75.2116488,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Restaurante provincianos Ibagué,Restaurante,"730005, Ibagué, Tolima",4.4139499,-75.2116488,4.6,381,Abierto ⋅ Cierra a las 9 p.m. Actualizado por este negocio hace 7 semanas
DeRegio Casual Food,Restaurante,"Cl. 60 #9-65, Ibagué, Tolima",4.4418827,-75.242929,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Encanto Del Mar - comida de mar gourmet,Marisquería,"Calle 62 Carrera 6 a Esquina, Prados del Norte, Ibagué, Tolima",4.4418827,-75.242929,4.6,381,Abierto ⋅ Cierra a las 8:30 p.m. Actualizado por otros usuarios hace 4 semanas
El Churrasco - Sede La Pola,Restaurante,"Cra 3 #7-2, Ibagué, Tolima",4.4463067,-75.282901,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Restaurante nativo FR,Restaurante,"entrada por FR HOTEL, Cl. 29 #5-41 Tercer piso, Ibagué, Tolima",4.4463067,-75.282901,4.6,381,
El Churrasco - Sede Jordán,Restaurante,"6ta Etapa del Jordan, Mazana 11 #Casa 19, Ibagué, Tolima",4.4395549,-75.2268916,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
La Finca Paisa,Restaurante colombiano,"Cl. 17 #3-24, Ibagué, Tolima",4.44107,-75.274444,4.6,381,Cierra pronto ⋅ 8 p.m. ⋅ Abre a las 7:30 a.m. del jue
Restaurante Yerbabuena,Restaurante familiar,"Cra. 6 #9-81, Ibagué, Tolima",4.44107,-75.274444,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Restaurante PeruPisco Comida Peruana,Restaurante,"Terraza San Lorenzo, Ibagué, Tolima",4.4247808,-75.223384,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Felo La Serena,Restaurante,"Paralela Carrera 5 #79-2, Ibagué, Tolima",4.4247808,-75.223384,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Beertown Ibague,Pub restaurante,"Cl 33C #4f39, Ibagué, Tolima",4.435659,-75.2567294,4.6,381,Abierto ⋅ Cierra a las 12 a.m.
La Barra - Crea Tu Pizza,Restaurante italiano,"Edificio ATICA La Samaria, Cl 94D #13 a sur - 64 local 2, Ibagué, Tolima",4.4212439,-75.2137025,4.6,381,Abierto ⋅ Cierra a las 10:30 p.m.
La Baranda sede Acqua,Restaurante,"Centro Comercial Aqua, Calle 60. 8-37, Ibagué, Tolima",4.4406758,-75.2425146,4.6,381,Abierto ⋅ Cierra a la 1 a.m.
Camarón Killero - Campestre,Restaurante,"40TLC, Ibagué, Tolima",4.4103194,-75.2080352,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Piqueteadero Donde El Gordo Ibagué,Restaurante,"Cl. 20 #23-10, Ibagué, Tolima",4.4249618,-75.2900013,4.6,381,Abierto ⋅ Cierra a las 12 a.m.
La Cabaña parrilla & carbon,Restaurante,"carrera 8 numero 121-151, Ibagué, Tolima",4.4463632,-75.2013169,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Asadero El Fogón Paisa,Restaurante,"Cl. 69 con Av. Guavinal #12, Mz 57 Cs 10, B. El Jordan Etapa 7, Ibagué, Tolima",4.4424066,-75.2359862,4.6,381,Abierto ⋅ Cierra a las 11 p.m.
Parador El Portal Paisa,Restaurante de desayunos,"Ibagué, Tolima",4.4158811,-75.2999236,4.6,381,Abierto las 24 horas
El Atajo Ibagué,Restaurante,"Av. Guabinal #con calle 63, Ibagué, Tolima",4.4417922,-75.2413313,4.6,381,Abierto ⋅ Cierra a las 11 p.m.
El Churrasco - Sede El Salado,Restaurante,"Montecarlo El Salado Cra 9 No. 128A - 37, Ibagué, Tolima",4.4482801,-75.1942908,4.6,381,Abierto ⋅ Cierra a las 9 p.m. Confirmado por este negocio hace 10 semanas
Restaurante La Barra Marina,Restaurante caribeño,"cra 3B No. 72-52 Mz B cs 16, Akaparaiso, Ibagué, Tolima",4.4378491,-75.2257038,4.6,381,Abierto ⋅ Cierra a las 9 p.m.
María bonita,Restaurante,"a 20-174,, Cl 69 #202, Ibagué, Tolima",4.4378491,-75.2257038,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
La Carnicería Parrilla Sede Ibague,Restaurante,"Cl. 53 #7b - 55, Ibagué, Tolima",4.4378491,-75.2257038,4.6,381,Abierto ⋅ Cierra a las 11 p.m.
OPONENTE RESTAURANTE,Restaurante,"calle 18 #8-43 Interlaken, Ibagué, Tolima",4.4453682,-75.2714526,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
Jus'so Café,Tienda de café,"Cl. 7 #2-60, Ibagué, Tolima",4.4453682,-75.2714526,4.6,381,Abierto ⋅ Cierra a las 9:30 p.m.
RESTAURANTE CAMPESTRE ORGULLO COLOMBIANO,Restaurante,"Calle 20 36-55 barrio boquerón, Via Cajamarca - Ibagué, Ibagué, Tolima",4.4148488,-75.3014141,4.6,381,Abierto las 24 horas
Viña Del Mar,Restaurante de fish & chips,"Limonar, Cl. 60 #5-65, Ibagué, Tolima",4.4363821,-75.2413891,4.6,381,Abierto ⋅ Cierra a las 10 p.m.
