Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
Hotel y Hostal Mi Reino represa Prado Tolima,Agregar sitio web,"Represa De Prado Km 6 dentro de la represa de hidroprado, Visitanos www.hotelmireino.com Reservaciones desde $80.000 pesos, Prado, Tolima",3.7495637,-75.0211118,3.8,94,
Represa prado,Agregar número de teléfono del lugar,"Represa De Prado, Prado, Tolima",3.7495637,-75.0211118,3.8,94,Cierra pronto ⋅ 9 p.m. ⋅ Abre a las 7 a.m. del jue
Hotel Villa de las Palmas,,"Carrera 4 #7-121, Purificación, Tolima",3.8556212,-75.0820422,3.8,94,
Bellavista Isla Del Sol,Agregar sitio web,"Isla del sol, embalse Central hidroeléctrico HIDROPRADO, Prado",3.8556212,-75.0820422,3.8,94,
Mansion del Lago,,"Represa de Prado, Prado, Purificación, Tolima",3.8556212,-75.0820422,3.8,94,
Parador restaurante cocobongo,Restaurante,"a 12-102, Cra. 5 #12-24, Prado, Tolima",3.7528642,-74.9665702,4.2,70,Cerrado ⋅ Abre a las 10 a.m. del jue
Finca El Manial Prado,Restaurante,"Purificacion-Prado, Prado, Tolima",3.782263,-74.9568186,4.2,70,Cerrado ⋅ Abre a las 12 p.m. del vie
Restaurante El Trapiche,Restaurante,"Prado, Tolima",3.7302048,-74.9137779,4.2,70,Abierto las 24 horas
Restaurante LA TALANQUERA,Restaurante,"A Hidroprado, Prado, Tolima",3.7501743,-74.954323,4.2,70,Cierra pronto ⋅ 9 p.m. ⋅ Abre a las 8 a.m. del jue
Parque Principal De Prado,Parque,"Cra. 6 #1075, Prado, Tolima",3.7507367,-74.9678726,4.3,818,
IMA PRADO ECO PARK,Parque temático,"Via, Represa De Prado, Prado, Tolima",3.7507367,-74.9678726,4.3,818,
Cascada Del Amor,Jardín,"Prado, Tolima",3.7122008,-74.909811,4.3,818,
Hidroprado,Parque infantil,"Represa De Prado, Prado, Tolima",3.7515286,-74.9653902,4.3,818,Abierto las 24 horas
