Nombre,Ubicación,Categoría,Descripción,Horarios,URL,Page
Villas Kairos Deluxe,Melgar,Hospedaje,"Kairos Deluxe es un exclusivo glamping ubicado en el municipio de Melgar, Tolima, a tan solo 2 horas de Bogotá. Diseñado con principios de sostenibilidad y un profundo respeto por el medio ambiente, ofrecen una experiencia única para quienes desean disfrutar de la naturaleza sin renunciar al confort y lujo que caracteriza a un alojamiento de alta gama. En Kairos Deluxe, podrás disfrutar de servicios excepcionales como pasadías, suites de lujo, cenas románticas y un relajante spa. Además, ofrecen caminatas ecológicas que te conectarán con la belleza natural de la región, así como actividades extremas para los amantes de la aventura. Aquí, cada detalle está pensado para que vivas momentos inolvidables en un entorno que prioriza la conexión con la tierra y el bienestar. ¡Te invitamos a descubrir esta experiencia transformadora!",Hospedaje: Lunes a Domingo 08:00 am a 8:00 pm,https://www.tolima.travel/prestadores-turisticos/villas-kairos-deluxe,1
Hospedaje Casa el Cedral,Ibagué,Hospedaje,"Casa El Cedral es tu refugio perfecto en el mágico Cañón del Combeima, en Juntas, a solo 40 minutos de Ibagué. ¿Buscas una escapada romántica? El Aparta estudio es ideal para parejas. Si vienes en familia o con amigos, el Apartamento, con capacidad para cuatro personas, tiene todo lo que necesitas. Y si eres de los que viaja en grupo, la Casa Campestre es perfecta, con espacio para 12 personas y áreas comunes amplias. En el exterior te espera un paraíso: hamacas para descansar, comedor al aire libre, cocina de leña, zona BBQ, un mirador increíble y diversión con juegos de mesa y rana. En Casa El Cedral, comodidad y naturaleza se unen para una experiencia inolvidable en el corazón del Tolima.",Hospedaje: Lunes a Domingo 06:00 am a 10:00 pm,https://www.tolima.travel/prestadores-turisticos/hospedaje-casa-el-cedral,1
Hotel Kynzha,Ibagué,Hospedaje,"El Alojamiento rural Kynzha, es un refugio encantador situado en el corazón del cañón del Combeima, rodeado por el verde vibrante de las montañas . Aquí, cada día comienza con el suave murmullo del agua que fluye y el canto armonioso de los pájaros, creando una sinfonía natural que invita a la relajación y al descanso. Sus cómodas camas están diseñadas para ofrecer el máximo confort, asegurando un sueño reparador después de un día explorando los senderos y maravillas naturales que los rodean. Lejos del bullicio de la ciudad, Kynzha es el lugar ideal para desconectar y rejuvenecer, sumergiéndose en la serenidad y belleza del entorno natural. Déjate envolver por la tranquilidad de este paraíso escondido y recarga energías en un ambiente de paz y armonía.",Hospedaje: Lunes a Domingo 08:00 am a 5:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-kynsha,1
Colombia Bonita,Prado,Hospedaje,"La Finca Natalie & Lucerna se encuentra en un brazo de la laguna del Prado denominado “El Caimán”, a 20 minutos en lancha desde el puerto. Los espacios están previstos para acomodar familias o grupos grandes. Ideal para excursiones, retiros, convenciones empresariales y reuniones familiares. Para grupos más grandes podemos combinar La Finca Natalie con La Finca Lucerna, unidas por un puente sobre la quebrada.",Hospedaje: Lunes a Lunes 08:00 am a 10:00 pm,https://www.tolima.travel/prestadores-turisticos/colombia-bonita,1
Hotel Posada Casa del Río,Honda,Hospedaje,"Casa del Río, el hotel más antiguo de Honda, es un auténtico tesoro histórico, construido en 1920 por el General Bernardino Londoño. Este emblemático lugar abrió sus puertas para recibir a viajeros, extranjeros y comerciantes que llegaban a Honda para embarcar en los vapores que navegaban el majestuoso Río Magdalena rumbo a Barranquilla, desde donde muchos continuaban sus aventuras alrededor del mundo. Tras más de un siglo de historia, Casa del Río ha sido meticulosamente restaurada, preservando cada detalle de su encantadora arquitectura colonial republicana. Con una decoración cuidadosamente seleccionada que incluye objetos del siglo XIX, este hotel logra una perfecta armonía entre el encanto del pasado y la comodidad contemporánea. Por ello, más que un simple alojamiento, Casa del Río ofrece una verdadera experiencia de viaje.",Hospedaje: Lunes a Lunes 08:00 am a 10:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-posada-casa-del-rio,1
Villas del Paraíso,Roncesvalles,Hospedaje,"¡Descubre Villas del Paraíso, tu destino ideal para aventuras en la naturaleza y alojamiento rural! Situado en el corazón de los Andes, en el pintoresco municipio de Roncesvalles, Tolima, te ofrecemos una experiencia única en alta montaña. Elige entre sus acogedoras casas típicas, el glamuroso glamping, o la emoción del camping. Disfruta de planes completos de estadía que combinan confort y aventura, rodeado de paisajes espectaculares. En Villas del Paraíso, promueve la conservación de los recursos naturales, para que puedas conectar con la naturaleza de una manera auténtica y sostenible. ¡Ve y vive la aventura en Villas del Paraíso! Reserva tu estadía hoy mismo y déjate sorprender por la magia de los Andes.",Hospedaje: Lunes a Lunes 08:00 am a 07:00 pm,https://www.tolima.travel/prestadores-turisticos/villas-del-paraiso,1
Finca Villa Magaly,Melgar,Hospedaje,"¡Descubre Finca Villa Magaly, tu oasis en la naturaleza! Sumérgete en la tranquilidad y la belleza que solo la naturaleza puede ofrecer, con impresionantes vistas al majestuoso Río Sumapaz y un entorno rodeado de árboles. Ofrecen cuatro apartamentos completamente equipados para tu comodidad y disfrute. Puedes optar por reservar la finca completa para una experiencia privada y exclusiva, o elegir uno de sus apartamentos según tus necesidades. Visitalo, conecta con la paz y la serenidad que solo Finca Villa Magaly puede ofrecer.",Hospedaje: Lunes a Lunes 08:00 am a 07:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-villa-magaly,1
Finca Turística Las Cabañas de Rovira,Rovira,Hospedaje,"Sumérgete en la serenidad y la belleza natural en La Finca Campestre Las Cabañas de Rovira. Ubicada en el departamento del Tolima y a tan solo dos minutos de la entrada del municipio de Rovira, este paraíso rural ofrece una escapada idílica para aquellos que buscan desconectar del bullicio de la vida cotidiana. Sus 4 cabañas campestres tienen capacidad para hasta 50 personas, ideales para celebrar eventos especiales, reuniones familiares o escapadas con amigos. Piscina, jacuzzi para 10 personas, senderos y lugares emblemáticos como lo es el valle de los muñecos serán tus opciones para disfrutar mientras disfrutas su estadía.",Hospedaje: Lunes a Lunes 08:00 am a 10:00 pm,https://www.tolima.travel/prestadores-turisticos/finca-turistica-las-cabanas-de-rovira,1
Hotel Royal Park Crown,Venadillo,Hospedaje,"Venadillo, un destino encantador en el corazón de Tolima, siempre te espera con los brazos abiertos y con el mejor hospedaje. El Hotel Royal Park Crown, ubicado a unos metros del parque principal, con habitaciones confortables y una piscina en su terraza, es la mejor opción cuando visites este encantador municipio.",Lunes a Lunes 06:00 am a 06:00 am,https://www.tolima.travel/prestadores-turisticos/hotel-royal-park-crown,1
Jardines de Berlín Kajol,Ibagué,Hospedaje,"Ubicado en la majestuosa vereda Berlín en el kilómetro 4.5 vía al nevado del Tolima a 5 minutos de la plaza de Bolívar de Ibagué, Jardines de Berlín Kajol, es un encanto natural de Ibagué para Colombia y el mundo, alojamiento rural sostenible y regenerativo con experiencias en cafés especiales y juegos tradicionales.",Lunes a domingos 08:00 am a 08:00 am,https://www.tolima.travel/prestadores-turisticos/jardines-de-berlin-kajol,1
Oasis Santuario de Naturaleza,Ibagué,Hospedaje,"¡Bienvenidos a una experiencia única en el corazón de San Bernardo de Ibagué! En el Santuario Oasis, la naturaleza y la espiritualidad se entrelazan para ofrecer a los viajeros un refugio de paz y serenidad. Su casa de guadua con una arquitectura única , piscina natural y sus senderos esperan tu visita que se convertirá en un capítulo inolvidable en tu jornada de descubrimiento y conexión con la esencia de la vida!",Martes a Domingo 09:00 am a 06:00 pm,https://www.tolima.travel/prestadores-turisticos/oasis-santuario-de-naturaleza,1
Hotel Restaurante La Casona,Roncesvalles,Hospedaje,"El encantador Hotel Restaurante La Casona se encuentra en el corazón del pintoresco Municipio de Roncesvalles, tierra natal del majestuoso árbol nacional, la Palma de Cera, y hogar del preciado Loro Orejiamarillo, una especie protegida de gran valor para la conservación natural. Desde 1993, le damos la bienvenida a una experiencia única llena de gastronomía regional, historia, naturaleza y hospitalidad.",Lunes a Lunes 07:00 am a 07:00 pm,https://www.tolima.travel/prestadores-turisticos/hotel-restaurante-la-casona,1
