Nombre,Calificación,Número de Reseñas,Etiquetas
1.Reserva Natural Orquideas del Tolima,"4,9",36,"Áreas de naturaleza y vida silvestre, Abierto ahora, Los visitantes pueden disfrutar de 180 especies de orquideas, representadas en mas de 8.000 plantas, 10 especies de guaduas y bambues, 60 especies de heliconias, 30 especies de bromelias, 15 especies…"
2.Living Col,"4,9",19,"Monumentos y lugares de interés, Abierto ahora, Viaje organizado por la agencia de living col, con un excelente guía, alimentación y los sitios espectaculares. mil..."
3.Parque Ecoturistico La Plata,"4,8",16,"Parques, Abierto ahora, ¿Sabias que contamos con la cascada más alta del Tolima? 490 mts de altura, ubicada en pleno cañón del Combeima ; Aire libre, hermosos paisajes, agua , naturaleza, hamacas, piscina, restaurante y …"
4.Museo de Arte del Tolima,"4,4",62,"Museos de arte, El museo ofrece galerías artísticas gratuitas y una que otra muestra con costos de mantenimiento, la atención y..."
5.Jardín Botánico San Jorge,"4,3",73,"Jardines, Buena caminata en medio del bosque, los senderos están bien delimitados, el jardín botánico está bien organizado y..."
6.Catedral Primada de Ibague,"4,5",70,"Iglesias y catedrales, La catedral es muy hermosa, cerca a dos parques muy lindos llenos de gente, es un buen lugar para salir...."
7.La Estacion Centro Comercial,"4,3",45,"Centros comerciales, Abierto ahora, tienen una zona de coworking supuestamente en el 3 piso en la zona decomidaspero son 2 comidas normales donde la ge..."
8.Centro Comercial Multicentro Ibague,"4,4",41,"Centros comerciales, Buen centro comercial para pasar un rato, comer, hacer compras, ir a cine o pasar un buen momento. Tiene un amplio..."
9.Plaza de Bolivar,"4,2",101,"Monumentos y lugares de interés, Muy hermosa la plaza, cerca a la catedral y al parque de las palomas, esta muy bonita y va mucha gente...."
10.Cascadas de Payande,"3,4",31,"Cascadas, Abierto ahora, Con mi familia nos quisimos ir a las cascadas de Payandé para aprovechar la tierrita y para que nuestro perro (Amigo..."
11.Panoptico de Ibague,"4,0",19,"Edificios con valor arquitectónico, El Panóptico es unico en el país, un lugar que hoy día alberga salas de evento y de concierto, está muy cerca al parque..."
12.Iglesia del Carmen,"4,2",15,"Iglesias y catedrales, Tiene una estructura muy antigua, es hermosa por dentro, la especialidad es la celebracion de la fiesta de la virgen..."
13.Universidad del Tolima,"4,3",20,"Lugares educativos, La Universidad del Tolima tiene una amplia oferta académica en pregrado y posgrado. Es un patrimonio cultural y..."
14.Estadio Manuel Murillo Toro,"4,0",15,"Complejos deportivos, El estadio es un espacio para quienes disfrutamos de ver buen fútbol. El equipo anfitrión, el Deportes Tolima, siempre..."
15.La Martinica Parque Ecologico,"5,0",1,"Parques, Abierto ahora, El parque ecológico La Martinica, ubicado en los cerros sur-occidentales de la ciudad de Ibagué, es la primera reserva natural en la ciudad, destinada a la conservación y conocimiento de la naturaleza…"
16.Centro Comercial Acqua Power Center,"3,3",12,"Centros comerciales, Abierto ahora, Es un centro comercial con buen diseño, pequeño, espacios amplios para caminar, con buenas opciones de cine, locales..."
17.Parque Centenario,"3,6",15,"Parques, Increible encontrar en este parque una escalera con retablos de cerámica al mejor estilo de Gaudi en Barcelona...."
18.Casa Museo Coleccion Mundo Sonoro,"5,0",3,"Museos especializados, Vive la experiencia de un Mundo Sonoro, instrumentos musicales que cuentan la historia de culturas milenarias de todas las latitudes del mundo. Ven y visita nuestra colección."
19.Teatro Tolima,"4,6",5,"Teatros, El teatro más representativo de la ciudad... donde se puede uno encontrar no solo con un sitio cómodo y de buena..."
20.Parque de la Musica,"3,4",27,"Parques, Los cobciertos en el conservatorio del tolima en lacsala Alberto Castilla son unico y magicos musicos de alta calidad..."
21.Reserva natural entreAguas,"4,5",2,"Áreas de naturaleza y vida silvestre, Una muy buena visita para estar cerca a la naturaleza. Los anfitriones excelente, la comida y los talleres sobre..."
22.Palacio de Justicia,"3,4",12,"Edificios gubernamentales, Lo mejor de este edificio son los ascensores tienen una capacidad super , son agiles y ademas hay orden para el..."
23.Reserva Natural Entreaguas,"5,0",2,"Áreas de naturaleza y vida silvestre • Rutas para senderismo, Magnífico lugar para conectarte con la naturaleza, deliciosa comida y sus anfitriones una familia hermosa que te hace..."
24.La Kueva Escalada Bajo Techo,"4,0",3,"Complejos deportivos, Puedes venir con un grupo de amigos, y ver quien es el mejor, desafiando las alturas y los retos de la escalada. Muy..."
25.Parque Temático Tacuraí,N/A,0,"Parques, Abierto ahora"
26.Playa Hawai,"2,8",130,"Playas, Un sitio con todos los protocolos de bioseguridad, los disferentes espacios para disfrutar las piscinas y la playita..."
27.La Plata Parque Ecoturistico,N/A,0,Áreas de naturaleza y vida silvestre
28.BBC Bodega Aqua,"3,8",4,"Cervecerías, Lugar agradable, servicio al cliente amable, un lugar para disfrutar con amigos o la pareja.... entretenimiento..."
29.Casino Ipanema Ibague,"3,2",5,"Casinos, Es un lugar para divertirse los amantes del juego, ofrecen refrigerior y licor, expextaculos musicales en vivo..."
30.Ibagué Dogpark,"2,7",3,Parques
