Nombre,Calificación,Número de Reseñas,Etiquetas,Ciudad
Cuevas De Tuluni,,,Cavernas y cuevas,Chaparral
Cinépico,,,Cines,Chaparral
Spa Face &Body,,,Spas,Chaparral
Tuluni - Turismo Rural Comunitario,"4,0",2.0,(2),Chaparral
Cuparca Tours,"5,0",1.0,(1),Chaparral
1.Reserva Natural Orquideas del Tolima,"4,9",36.0,"Áreas de naturaleza y vida silvestre, Abierto ahora, Los visitantes pueden disfrutar de 180 especies de orquideas, representadas en mas de 8.000 plantas, 10 especies de guaduas y bambues, 60 especies de heliconias, 30 especies de bromelias, 15 especies…",Ibagué
2.Living Col,"4,9",19.0,"Monumentos y lugares de interés, Abierto ahora, Viaje organizado por la agencia de living col, con un excelente guía, alimentación y los sitios espectaculares. mil...",Ibagué
3.Parque Ecoturistico La Plata,"4,8",16.0,"Parques, Abierto ahora, ¿Sabias que contamos con la cascada más alta del Tolima? 490 mts de altura, ubicada en pleno cañón del Combeima ; Aire libre, hermosos paisajes, agua , naturaleza, hamacas, piscina, restaurante y …",Ibagué
4.Museo de Arte del Tolima,"4,4",62.0,"Museos de arte, El museo ofrece galerías artísticas gratuitas y una que otra muestra con costos de mantenimiento, la atención y...",Ibagué
5.Jardín Botánico San Jorge,"4,3",73.0,"Jardines, Buena caminata en medio del bosque, los senderos están bien delimitados, el jardín botánico está bien organizado y...",Ibagué
6.Catedral Primada de Ibague,"4,5",70.0,"Iglesias y catedrales, La catedral es muy hermosa, cerca a dos parques muy lindos llenos de gente, es un buen lugar para salir....",Ibagué
7.La Estacion Centro Comercial,"4,3",45.0,"Centros comerciales, Abierto ahora, tienen una zona de coworking supuestamente en el 3 piso en la zona decomidaspero son 2 comidas normales donde la ge...",Ibagué
8.Centro Comercial Multicentro Ibague,"4,4",41.0,"Centros comerciales, Buen centro comercial para pasar un rato, comer, hacer compras, ir a cine o pasar un buen momento. Tiene un amplio...",Ibagué
9.Plaza de Bolivar,"4,2",101.0,"Monumentos y lugares de interés, Muy hermosa la plaza, cerca a la catedral y al parque de las palomas, esta muy bonita y va mucha gente....",Ibagué
10.Cascadas de Payande,"3,4",31.0,"Cascadas, Abierto ahora, Con mi familia nos quisimos ir a las cascadas de Payandé para aprovechar la tierrita y para que nuestro perro (Amigo...",Ibagué
11.Panoptico de Ibague,"4,0",19.0,"Edificios con valor arquitectónico, El Panóptico es unico en el país, un lugar que hoy día alberga salas de evento y de concierto, está muy cerca al parque...",Ibagué
12.Iglesia del Carmen,"4,2",15.0,"Iglesias y catedrales, Tiene una estructura muy antigua, es hermosa por dentro, la especialidad es la celebracion de la fiesta de la virgen...",Ibagué
13.Universidad del Tolima,"4,3",20.0,"Lugares educativos, La Universidad del Tolima tiene una amplia oferta académica en pregrado y posgrado. Es un patrimonio cultural y...",Ibagué
14.Estadio Manuel Murillo Toro,"4,0",15.0,"Complejos deportivos, El estadio es un espacio para quienes disfrutamos de ver buen fútbol. El equipo anfitrión, el Deportes Tolima, siempre...",Ibagué
15.La Martinica Parque Ecologico,"5,0",1.0,"Parques, Abierto ahora, El parque ecológico La Martinica, ubicado en los cerros sur-occidentales de la ciudad de Ibagué, es la primera reserva natural en la ciudad, destinada a la conservación y conocimiento de la naturaleza…",Ibagué
16.Centro Comercial Acqua Power Center,"3,3",12.0,"Centros comerciales, Abierto ahora, Es un centro comercial con buen diseño, pequeño, espacios amplios para caminar, con buenas opciones de cine, locales...",Ibagué
17.Parque Centenario,"3,6",15.0,"Parques, Increible encontrar en este parque una escalera con retablos de cerámica al mejor estilo de Gaudi en Barcelona....",Ibagué
18.Casa Museo Coleccion Mundo Sonoro,"5,0",3.0,"Museos especializados, Vive la experiencia de un Mundo Sonoro, instrumentos musicales que cuentan la historia de culturas milenarias de todas las latitudes del mundo. Ven y visita nuestra colección.",Ibagué
19.Teatro Tolima,"4,6",5.0,"Teatros, El teatro más representativo de la ciudad... donde se puede uno encontrar no solo con un sitio cómodo y de buena...",Ibagué
20.Parque de la Musica,"3,4",27.0,"Parques, Los cobciertos en el conservatorio del tolima en lacsala Alberto Castilla son unico y magicos musicos de alta calidad...",Ibagué
21.Reserva natural entreAguas,"4,5",2.0,"Áreas de naturaleza y vida silvestre, Una muy buena visita para estar cerca a la naturaleza. Los anfitriones excelente, la comida y los talleres sobre...",Ibagué
22.Palacio de Justicia,"3,4",12.0,"Edificios gubernamentales, Lo mejor de este edificio son los ascensores tienen una capacidad super , son agiles y ademas hay orden para el...",Ibagué
23.Reserva Natural Entreaguas,"5,0",2.0,"Áreas de naturaleza y vida silvestre • Rutas para senderismo, Magnífico lugar para conectarte con la naturaleza, deliciosa comida y sus anfitriones una familia hermosa que te hace...",Ibagué
24.La Kueva Escalada Bajo Techo,"4,0",3.0,"Complejos deportivos, Puedes venir con un grupo de amigos, y ver quien es el mejor, desafiando las alturas y los retos de la escalada. Muy...",Ibagué
25.Parque Temático Tacuraí,,0.0,"Parques, Abierto ahora",Ibagué
26.Playa Hawai,"2,8",130.0,"Playas, Un sitio con todos los protocolos de bioseguridad, los disferentes espacios para disfrutar las piscinas y la playita...",Ibagué
27.La Plata Parque Ecoturistico,,0.0,Áreas de naturaleza y vida silvestre,Ibagué
28.BBC Bodega Aqua,"3,8",4.0,"Cervecerías, Lugar agradable, servicio al cliente amable, un lugar para disfrutar con amigos o la pareja.... entretenimiento...",Ibagué
29.Casino Ipanema Ibague,"3,2",5.0,"Casinos, Es un lugar para divertirse los amantes del juego, ofrecen refrigerior y licor, expextaculos musicales en vivo...",Ibagué
30.Ibagué Dogpark,"2,7",3.0,Parques,Ibagué
Aventura Terra,,0.0,"Aventura Terra es un parque infantil para niños hasta los 12 años, cuenta con: Muros de escalada, puentes colgantes deslizadero convencional y deslizadero con costales, laberinto en malla con balones…",Ibagué
BBC Bodega Av Quinta,"3,5",2.0,"El sitio está bien chevere si la idea es tomar buena cerveza, picar algo pequeño de comer y charlar con tus amigos o...",Ibagué
